variant,w_ccd,w_hae,w_ole,w_scd,w_agg,aggregation,auc_attempted,auc_succeeded,brier,n_total,spearman_vstar_focus
linear_theory,0.4,0.2,0.15,0.15,0.1,linear,0.3645833333333333,0.3076923076923077,0.4202401552202985,28,
geometric_theory,0.4,0.2,0.15,0.15,0.1,geometric,0.4739583333333333,0.38461538461538464,0.4861581278903965,28,
equal_weight,0.2,0.2,0.2,0.2,0.2,linear,0.3958333333333333,0.3333333333333333,0.4275129301070765,28,
pca_pc1,0.1689739480727885,0.2937264610776201,0.2161692125995728,0.10140545030777652,0.21972492794224213,linear,0.3541666666666667,0.4358974358974359,0.42634232411619477,28,
agg_only_baseline,0.0,0.0,0.0,0.0,1.0,linear,0.45,0.1111111111111111,0.4988492128908708,27,
r_no_alliance,0.4,0.2,0.15,0.15,0.1,linear,0.3645833333333333,0.28205128205128205,0.41497512348294846,28,0.9991908473366891
r_treaty_only,0.4,0.2,0.15,0.15,0.1,linear,0.3645833333333333,0.3333333333333333,0.4200565597949047,28,0.999705239811677
