country,year,OLE
PHL,2020,0.2294494935606588
PHL,2021,0.22831375803570772
PHL,2022,
PLW,2009,
PLW,2010,
PLW,2011,
PLW,2012,
PLW,2013,
PLW,2014,
PLW,2015,
PLW,2016,
PLW,2017,
PLW,2018,
PLW,2019,
PLW,2020,
PLW,2021,
PLW,2022,
SGP,2009,
SGP,2010,
SGP,2011,
SGP,2012,
SGP,2013,
SGP,2014,
SGP,2015,
SGP,2016,
SGP,2017,
SGP,2018,
SGP,2019,
SGP,2020,
SGP,2021,
SGP,2022,
SWE,2009,
SWE,2010,
SWE,2011,
SWE,2012,
SWE,2013,
SWE,2014,
SWE,2015,
SWE,2016,
SWE,2017,
SWE,2018,
SWE,2019,
SWE,2020,
SWE,2021,
SWE,2022,
THA,2009,0.2005418735408659
THA,2010,0.21185083842478475
THA,2011,0.21082013902698035
THA,2012,0.20849907873259946
THA,2013,0.20983777007735865
THA,2014,0.21029900582515332
THA,2015,0.21266660537892354
THA,2016,0.21508257353278262
THA,2017,0.2128864316210396
THA,2018,0.21174817598201037
THA,2019,0.21201192645851927
THA,2020,0.21087441122164255
THA,2021,0.2103403377043732
THA,2022,
TWN,2009,
TWN,2010,
TWN,2011,
TWN,2012,
TWN,2013,
TWN,2014,
TWN,2015,
TWN,2016,
TWN,2017,
TWN,2018,
TWN,2019,
TWN,2020,
TWN,2021,
TWN,2022,
USA,2009,
USA,2010,
USA,2011,
USA,2012,
USA,2013,
USA,2014,
USA,2015,
USA,2016,
USA,2017,
USA,2018,
USA,2019,
USA,2020,
USA,2021,
USA,2022,
VNM,2009,0.27348255977864155
VNM,2010,0.2657489545393391
VNM,2011,0.27387309729733705
VNM,2012,0.27228994220877656
VNM,2013,0.268981346049636
VNM,2014,0.27490340109817846
VNM,2015,0.27630280254954603
VNM,2016,0.29227914492189316
VNM,2017,0.27824712572007837
VNM,2018,0.2776769539928555
VNM,2019,0.27834366419636064
VNM,2020,0.2754389836691019
VNM,2021,0.2702117123889786
VNM,2022,
ZAF,2009,0.21128758980645176
ZAF,2010,0.21054848236755833
ZAF,2011,0.21215016419855076
ZAF,2012,0.2123772169233623
ZAF,2013,0.2146335043014171
ZAF,2014,0.21455633866815013
ZAF,2015,0.22682007243954552
ZAF,2016,0.22813666786542958
ZAF,2017,0.22919658926170178
ZAF,2018,0.23261734073705598
ZAF,2019,0.2334098631454527
ZAF,2020,0.23824883218661486
ZAF,2021,0.23926162158146286
ZAF,2022,
