country,year,CCD
THA,2021,
THA,2022,
TWN,2009,
TWN,2010,
TWN,2011,
TWN,2012,
TWN,2013,
TWN,2014,
TWN,2015,
TWN,2016,
TWN,2017,
TWN,2018,
TWN,2019,
TWN,2020,
TWN,2021,
TWN,2022,
USA,2009,0.006647808687851561
USA,2010,0.007348203666365932
USA,2011,
USA,2012,
USA,2013,
USA,2014,
USA,2015,
USA,2016,
USA,2017,
USA,2018,
USA,2019,
USA,2020,
USA,2021,
USA,2022,
VNM,2009,
VNM,2010,
VNM,2011,
VNM,2012,
VNM,2013,
VNM,2014,
VNM,2015,
VNM,2016,
VNM,2017,
VNM,2018,
VNM,2019,
VNM,2020,
VNM,2021,
VNM,2022,
ZAF,2009,
ZAF,2010,
ZAF,2011,
ZAF,2012,
ZAF,2013,
ZAF,2014,
ZAF,2015,
ZAF,2016,
ZAF,2017,
ZAF,2018,
ZAF,2019,
ZAF,2020,
ZAF,2021,
ZAF,2022,
