country,year,AGG
PHL,2018,0.0
PHL,2019,0.0
PHL,2020,0.0
PHL,2021,0.0
PHL,2022,0.0
PLW,2009,0.0
PLW,2010,0.0
PLW,2011,0.0
PLW,2012,0.0
PLW,2013,0.0
PLW,2014,0.0
PLW,2015,0.0
PLW,2016,0.0
PLW,2017,0.0
PLW,2018,0.0
PLW,2019,0.0
PLW,2020,0.0
PLW,2021,0.0
PLW,2022,0.0
SGP,2009,0.0
SGP,2010,0.0
SGP,2011,0.0
SGP,2012,0.0
SGP,2013,0.0
SGP,2014,0.0
SGP,2015,0.0
SGP,2016,0.0
SGP,2017,0.0
SGP,2018,0.0
SGP,2019,0.0
SGP,2020,0.0
SGP,2021,0.0
SGP,2022,0.0
SWE,2009,0.0
SWE,2010,0.0
SWE,2011,0.0
SWE,2012,0.0
SWE,2013,0.0
SWE,2014,0.0
SWE,2015,0.0
SWE,2016,0.0
SWE,2017,0.0
SWE,2018,0.0
SWE,2019,0.0
SWE,2020,0.0
SWE,2021,0.0
SWE,2022,0.0
THA,2009,0.0
THA,2010,0.0
THA,2011,0.0
THA,2012,0.0
THA,2013,0.0
THA,2014,0.0
THA,2015,0.0
THA,2016,0.0
THA,2017,0.0
THA,2018,0.0
THA,2019,0.0
THA,2020,0.0
THA,2021,0.0
THA,2022,0.0
TWN,2009,
TWN,2010,
TWN,2011,
TWN,2012,
TWN,2013,
TWN,2014,
TWN,2015,
TWN,2016,
TWN,2017,
TWN,2018,
TWN,2019,
TWN,2020,
TWN,2021,
TWN,2022,
USA,2009,0.0006332194414541129
USA,2010,0.00035969926370478305
USA,2011,0.0
USA,2012,0.0
USA,2013,0.0
USA,2014,0.0
USA,2015,0.0
USA,2016,0.0
USA,2017,0.0
USA,2018,0.0
USA,2019,0.0
USA,2020,0.0
USA,2021,0.0
USA,2022,0.0
VNM,2009,0.0
VNM,2010,0.0
VNM,2011,0.0
VNM,2012,0.0
VNM,2013,0.0
VNM,2014,0.0
VNM,2015,0.0
VNM,2016,0.0
VNM,2017,0.0
VNM,2018,0.0
VNM,2019,0.0
VNM,2020,0.0
VNM,2021,0.0
VNM,2022,0.0
ZAF,2009,0.0
ZAF,2010,0.0
ZAF,2011,0.0
ZAF,2012,0.0
ZAF,2013,0.0
ZAF,2014,0.0
ZAF,2015,0.0
ZAF,2016,0.0
ZAF,2017,0.0
ZAF,2018,0.0
ZAF,2019,0.0
ZAF,2020,0.0
ZAF,2021,0.0
ZAF,2022,0.0
